starting
Job is running on node c1.ib.local
c1.ib.local
c1.ib.local
c1.ib.local
c1.ib.local
c1.ib.local
c1.ib.local
c1.ib.local
c1.ib.local
c1.ib.local
c1.ib.local
c1.ib.local
c1.ib.local
c1.ib.local
c1.ib.local
c1.ib.local
c1.ib.local
c1.ib.local
c1.ib.local
c1.ib.local
c1.ib.local
c1.ib.local
c1.ib.local
c1.ib.local
/home/users/ksf293/aemulator/code
Running in /home/users/ksf293/aemulator/code/..
Running in /home/users/ksf293/aemulator
Fname /home/users/ksf293/aemulator/chains/param_files/chain_params_wp_uchuu_all_Msatmocks_covglam4.h5
Condition number: 1565.9735714174465
Building emulators
_aemulus_Msatmocks_train
original number of training ID pairs: 4000
Deleted bad ID pairs with indices [1296, 1335]
N train: 3998
Emulator for wp built with train_tag _George_log_errstdev_Msatmocks
Dynesty sampling (static) - nongen
nlive: 972
sample_method: rwalk
walks: 25
bound: multi
seed: 667
vol_dec: 0.5 vol_check: 2.0
slices: 5
dlogz:  0.01
n_threads: 24

iter: 52 | bound: 0 | nc: 1 | ncall: 1024 | eff(%):  5.078 | loglstar:   -inf < -622.581 <    inf | logz: -630.204 +/-  0.125 | dlogz: 629.268 >  0.010                                               
iter: 53 | bound: 0 | nc: 2 | ncall: 1026 | eff(%):  5.166 | loglstar:   -inf < -619.270 <    inf | logz: -626.826 +/-  0.123 | dlogz: 623.045 >  0.010                                               
iter: 54 | bound: 0 | nc: 1 | ncall: 1027 | eff(%):  5.258 | loglstar:   -inf < -611.900 <    inf | logz: -619.527 +/-  0.125 | dlogz: 619.667 >  0.010                                               
iter: 55 | bound: 0 | nc: 1 | ncall: 1028 | eff(%):  5.350 | loglstar:   -inf < -609.426 <    inf | logz: -616.899 +/-  0.121 | dlogz: 612.366 >  0.010                                               
iter: 56 | bound: 0 | nc: 2 | ncall: 1030 | eff(%):  5.437 | loglstar:   -inf < -607.845 <    inf | logz: -615.106 +/-  0.118 | dlogz: 609.738 >  0.010                                               
iter: 57 | bound: 0 | nc: 1 | ncall: 1031 | eff(%):  5.529 | loglstar:   -inf < -606.974 <    inf | logz: -613.900 +/-  0.114 | dlogz: 607.943 >  0.010                                               
iter: 58 | bound: 0 | nc: 1 | ncall: 1032 | eff(%):  5.620 | loglstar:   -inf < -599.066 <    inf | logz: -606.697 +/-  0.125 | dlogz: 606.736 >  0.010                                               
iter: 59 | bound: 0 | nc: 1 | ncall: 1033 | eff(%):  5.712 | loglstar:   -inf < -599.042 <    inf | logz: -605.592 +/-  0.116 | dlogz: 599.532 >  0.010                                               
iter: 60 | bound: 0 | nc: 1 | ncall: 1034 | eff(%):  5.803 | loglstar:   -inf < -587.293 <    inf | logz: -594.928 +/-  0.125 | dlogz: 598.426 >  0.010                                               
iter: 61 | bound: 0 | nc: 1 | ncall: 1035 | eff(%):  5.894 | loglstar:   -inf < -581.979 <    inf | logz: -589.604 +/-  0.125 | dlogz: 587.761 >  0.010                                               
iter: 62 | bound: 0 | nc: 1 | ncall: 1036 | eff(%):  5.985 | loglstar:   -inf < -581.044 <    inf | logz: -588.098 +/-  0.117 | dlogz: 582.436 >  0.010                                               
iter: 63 | bound: 0 | nc: 1 | ncall: 1037 | eff(%):  6.075 | loglstar:   -inf < -579.348 <    inf | logz: -586.572 +/-  0.116 | dlogz: 580.930 >  0.010                                               
iter: 64 | bound: 0 | nc: 1 | ncall: 1038 | eff(%):  6.166 | loglstar:   -inf < -578.204 <    inf | logz: -585.254 +/-  0.114 | dlogz: 579.402 >  0.010                                               
iter: 65 | bound: 0 | nc: 1 | ncall: 1039 | eff(%):  6.256 | loglstar:   -inf < -574.271 <    inf | logz: -581.857 +/-  0.123 | dlogz: 578.083 >  0.010                                               
iter: 66 | bound: 0 | nc: 1 | ncall: 1040 | eff(%):  6.346 | loglstar:   -inf < -573.261 <    inf | logz: -580.343 +/-  0.116 | dlogz: 574.685 >  0.010                                               
iter: 67 | bound: 0 | nc: 1 | ncall: 1041 | eff(%):  6.436 | loglstar:   -inf < -573.017 <    inf | logz: -579.509 +/-  0.112 | dlogz: 573.169 >  0.010                                               
