starting
Job is running on node c3.ib.local
c3.ib.local
c3.ib.local
c3.ib.local
c3.ib.local
c3.ib.local
c3.ib.local
c3.ib.local
c3.ib.local
c3.ib.local
c3.ib.local
c3.ib.local
c3.ib.local
c3.ib.local
c3.ib.local
c3.ib.local
c3.ib.local
c3.ib.local
c3.ib.local
c3.ib.local
c3.ib.local
c3.ib.local
c3.ib.local
c3.ib.local
/home/users/ksf293/aemulator/code
Running in /home/users/ksf293/aemulator/code/..
Running in /home/users/ksf293/aemulator
Fname /home/users/ksf293/aemulator/chains/param_files/chain_params_xi2_uchuu_all_Msatmocks_covglam4.h5
Condition number: 87325.44877121199
Building emulators
_aemulus_Msatmocks_train
original number of training ID pairs: 4000
Deleted bad ID pairs with indices [1296, 1335]
N train: 3998
Emulator for xi2 built with train_tag _George_xrsqmean_errstdev_Msatmocks
Dynesty sampling (static) - nongen
nlive: 972
sample_method: rwalk
walks: 25
bound: multi
seed: 757
vol_dec: 0.5 vol_check: 2.0
slices: 5
dlogz:  0.01
n_threads: 24

iter: 37 | bound: 0 | nc: 1 | ncall: 1009 | eff(%):  3.667 | loglstar:   -inf < -22.564 <    inf | logz: -28.075 +/-  0.103 | dlogz: 28.266 >  0.010                                                  
iter: 38 | bound: 0 | nc: 1 | ncall: 1010 | eff(%):  3.762 | loglstar:   -inf < -22.152 <    inf | logz: -27.807 +/-  0.102 | dlogz: 28.011 >  0.010                                                  
iter: 39 | bound: 0 | nc: 1 | ncall: 1011 | eff(%):  3.858 | loglstar:   -inf < -21.228 <    inf | logz: -27.403 +/-  0.102 | dlogz: 27.742 >  0.010                                                  
iter: 40 | bound: 0 | nc: 1 | ncall: 1012 | eff(%):  3.953 | loglstar:   -inf < -20.923 <    inf | logz: -26.959 +/-  0.102 | dlogz: 27.337 >  0.010                                                  
iter: 41 | bound: 0 | nc: 1 | ncall: 1013 | eff(%):  4.047 | loglstar:   -inf < -20.668 <    inf | logz: -26.572 +/-  0.102 | dlogz: 26.892 >  0.010                                                  
iter: 42 | bound: 0 | nc: 1 | ncall: 1014 | eff(%):  4.142 | loglstar:   -inf < -20.589 <    inf | logz: -26.253 +/-  0.101 | dlogz: 26.504 >  0.010                                                  
iter: 43 | bound: 0 | nc: 1 | ncall: 1015 | eff(%):  4.236 | loglstar:   -inf < -19.958 <    inf | logz: -25.910 +/-  0.101 | dlogz: 26.184 >  0.010                                                  
iter: 44 | bound: 0 | nc: 1 | ncall: 1016 | eff(%):  4.331 | loglstar:   -inf < -19.712 <    inf | logz: -25.552 +/-  0.101 | dlogz: 25.840 >  0.010                                                  
iter: 45 | bound: 0 | nc: 1 | ncall: 1017 | eff(%):  4.425 | loglstar:   -inf < -18.743 <    inf | logz: -25.073 +/-  0.102 | dlogz: 25.481 >  0.010                                                  
iter: 46 | bound: 0 | nc: 1 | ncall: 1018 | eff(%):  4.519 | loglstar:   -inf < -18.664 <    inf | logz: -24.620 +/-  0.102 | dlogz: 25.001 >  0.010                                                  
iter: 47 | bound: 0 | nc: 1 | ncall: 1019 | eff(%):  4.612 | loglstar:   -inf < -18.535 <    inf | logz: -24.280 +/-  0.102 | dlogz: 24.547 >  0.010                                                  
iter: 48 | bound: 0 | nc: 1 | ncall: 1020 | eff(%):  4.706 | loglstar:   -inf < -18.382 <    inf | logz: -23.994 +/-  0.101 | dlogz: 24.206 >  0.010                                                  
iter: 49 | bound: 0 | nc: 1 | ncall: 1021 | eff(%):  4.799 | loglstar:   -inf < -18.351 <    inf | logz: -23.753 +/-  0.100 | dlogz: 23.919 >  0.010                                                  
iter: 50 | bound: 0 | nc: 1 | ncall: 1022 | eff(%):  4.892 | loglstar:   -inf < -18.061 <    inf | logz: -23.528 +/-  0.099 | dlogz: 23.677 >  0.010                                                  
iter: 51 | bound: 0 | nc: 1 | ncall: 1023 | eff(%):  4.985 | loglstar:   -inf < -18.035 <    inf | logz: -23.317 +/-  0.098 | dlogz: 23.450 >  0.010                                                  
iter: 52 | bound: 0 | nc: 1 | ncall: 1024 | eff(%):  5.078 | loglstar:   -inf < -17.655 <    inf | logz: -23.105 +/-  0.098 | dlogz: 23.239 >  0.010                                                  
iter: 53 | bound: 0 | nc: 1 | ncall: 1025 | eff(%):  5.171 | loglstar:   -inf < -17.532 <    inf | logz: -22.889 +/-  0.097 | dlogz: 23.026 >  0.010                                                  
iter: 54 | bound: 0 | nc: 2 | ncall: 1027 | eff(%):  5.258 | loglstar:   -inf < -17.519 <    inf | logz: -22.700 +/-  0.097 | dlogz: 22.808 >  0.010                                                  
iter: 55 | bound: 0 | nc: 1 | ncall: 1028 | eff(%):  5.350 | loglstar:   -inf < -17.234 <    inf | logz: -22.516 +/-  0.096 | dlogz: 22.618 >  0.010                                                  
iter: 56 | bound: 0 | nc: 1 | ncall: 1029 | eff(%):  5.442 | loglstar:   -inf < -17.215 <    inf | logz: -22.340 +/-  0.096 | dlogz: 22.434 >  0.010                                                  
iter: 57 | bound: 0 | nc: 1 | ncall: 1030 | eff(%):  5.534 | loglstar:   -inf < -16.883 <    inf | logz: -22.162 +/-  0.095 | dlogz: 22.256 >  0.010                                                  
iter: 58 | bound: 0 | nc: 1 | ncall: 1031 | eff(%):  5.626 | loglstar:   -inf < -16.856 <    inf | logz: -21.985 +/-  0.095 | dlogz: 22.077 >  0.010                                                  
iter: 59 | bound: 0 | nc: 1 | ncall: 1032 | eff(%):  5.717 | loglstar:   -inf < -16.626 <    inf | logz: -21.816 +/-  0.094 | dlogz: 21.900 >  0.010                                                  
