starting
Job is running on node c2.ib.local
c2.ib.local
c2.ib.local
c2.ib.local
c2.ib.local
c2.ib.local
c2.ib.local
c2.ib.local
c2.ib.local
c2.ib.local
c2.ib.local
c2.ib.local
c2.ib.local
c2.ib.local
c2.ib.local
c2.ib.local
c2.ib.local
c2.ib.local
c2.ib.local
c2.ib.local
c2.ib.local
c2.ib.local
c2.ib.local
c2.ib.local
/home/users/ksf293/aemulator/code
Running in /home/users/ksf293/aemulator/code/..
Running in /home/users/ksf293/aemulator
Fname /home/users/ksf293/aemulator/chains/param_files/chain_params_upf_uchuu_all_Msatmocks_covglam4.h5
Condition number: 141580.5220998982
Building emulators
_aemulus_Msatmocks_train
original number of training ID pairs: 4000
Deleted bad ID pairs with indices [1296, 1335]
N train: 3998
Emulator for upf built with train_tag _George_log_errstdev_Msatmocks
Dynesty sampling (static) - nongen
nlive: 972
sample_method: rwalk
walks: 25
bound: multi
seed: 576
vol_dec: 0.5 vol_check: 2.0
slices: 5
dlogz:  0.01
n_threads: 24

iter: 50 | bound: 0 | nc: 1 | ncall: 1024 | eff(%):  4.883 | loglstar:   -inf < -1606.175 <    inf | logz: -1613.799 +/-  0.125 | dlogz: 1670.895 >  0.010                                            
iter: 51 | bound: 0 | nc: 1 | ncall: 1025 | eff(%):  4.976 | loglstar:   -inf < -1554.464 <    inf | logz: -1562.089 +/-  0.125 | dlogz: 1613.150 >  0.010                                            
iter: 52 | bound: 0 | nc: 1 | ncall: 1026 | eff(%):  5.068 | loglstar:   -inf < -1554.357 <    inf | logz: -1560.954 +/-  0.116 | dlogz: 1561.438 >  0.010                                            
iter: 53 | bound: 0 | nc: 1 | ncall: 1027 | eff(%):  5.161 | loglstar:   -inf < -1554.275 <    inf | logz: -1560.397 +/-  0.111 | dlogz: 1560.303 >  0.010                                            
iter: 54 | bound: 0 | nc: 1 | ncall: 1028 | eff(%):  5.253 | loglstar:   -inf < -1543.965 <    inf | logz: -1551.592 +/-  0.125 | dlogz: 1559.745 >  0.010                                            
iter: 55 | bound: 0 | nc: 1 | ncall: 1029 | eff(%):  5.345 | loglstar:   -inf < -1541.488 <    inf | logz: -1548.962 +/-  0.121 | dlogz: 1550.939 >  0.010                                            
iter: 56 | bound: 0 | nc: 1 | ncall: 1030 | eff(%):  5.437 | loglstar:   -inf < -1498.683 <    inf | logz: -1506.313 +/-  0.125 | dlogz: 1548.308 >  0.010                                            
iter: 57 | bound: 0 | nc: 1 | ncall: 1031 | eff(%):  5.529 | loglstar:   -inf < -1492.205 <    inf | logz: -1499.833 +/-  0.125 | dlogz: 1505.658 >  0.010                                            
iter: 58 | bound: 0 | nc: 1 | ncall: 1032 | eff(%):  5.620 | loglstar:   -inf < -1436.765 <    inf | logz: -1444.397 +/-  0.125 | dlogz: 1499.177 >  0.010                                            
iter: 59 | bound: 0 | nc: 1 | ncall: 1033 | eff(%):  5.712 | loglstar:   -inf < -1404.777 <    inf | logz: -1412.410 +/-  0.125 | dlogz: 1443.740 >  0.010                                            
iter: 60 | bound: 0 | nc: 1 | ncall: 1034 | eff(%):  5.803 | loglstar:   -inf < -1357.209 <    inf | logz: -1364.843 +/-  0.125 | dlogz: 1411.752 >  0.010                                            
iter: 61 | bound: 0 | nc: 2 | ncall: 1036 | eff(%):  5.888 | loglstar:   -inf < -1251.306 <    inf | logz: -1258.942 +/-  0.125 | dlogz: 1364.184 >  0.010                                            
iter: 62 | bound: 0 | nc: 1 | ncall: 1037 | eff(%):  5.979 | loglstar:   -inf < -1179.713 <    inf | logz: -1187.349 +/-  0.125 | dlogz: 1258.281 >  0.010                                            
iter: 63 | bound: 0 | nc: 1 | ncall: 1038 | eff(%):  6.069 | loglstar:   -inf < -1170.115 <    inf | logz: -1177.752 +/-  0.125 | dlogz: 1186.688 >  0.010                                            
iter: 64 | bound: 0 | nc: 1 | ncall: 1039 | eff(%):  6.160 | loglstar:   -inf < -1146.715 <    inf | logz: -1154.353 +/-  0.125 | dlogz: 1177.090 >  0.010                                            
iter: 65 | bound: 0 | nc: 1 | ncall: 1040 | eff(%):  6.250 | loglstar:   -inf < -1133.149 <    inf | logz: -1140.788 +/-  0.125 | dlogz: 1153.690 >  0.010                                            
iter: 66 | bound: 0 | nc: 1 | ncall: 1041 | eff(%):  6.340 | loglstar:   -inf < -1121.515 <    inf | logz: -1129.155 +/-  0.125 | dlogz: 1140.124 >  0.010                                            
iter: 67 | bound: 0 | nc: 1 | ncall: 1042 | eff(%):  6.430 | loglstar:   -inf < -1120.089 <    inf | logz: -1127.338 +/-  0.118 | dlogz: 1128.490 >  0.010                                            
iter: 68 | bound: 0 | nc: 1 | ncall: 1043 | eff(%):  6.520 | loglstar:   -inf < -1116.191 <    inf | logz: -1123.784 +/-  0.123 | dlogz: 1126.671 >  0.010                                            
iter: 69 | bound: 0 | nc: 1 | ncall: 1044 | eff(%):  6.609 | loglstar:   -inf < -1114.959 <    inf | logz: -1122.133 +/-  0.117 | dlogz: 1123.116 >  0.010                                            
iter: 70 | bound: 0 | nc: 1 | ncall: 1045 | eff(%):  6.699 | loglstar:   -inf < -1098.649 <    inf | logz: -1106.294 +/-  0.125 | dlogz: 1121.464 >  0.010                                            
iter: 71 | bound: 0 | nc: 1 | ncall: 1046 | eff(%):  6.788 | loglstar:   -inf < -1075.449 <    inf | logz: -1083.095 +/-  0.125 | dlogz: 1105.624 >  0.010                                            
iter: 72 | bound: 0 | nc: 1 | ncall: 1047 | eff(%):  6.877 | loglstar:   -inf < -1064.077 <    inf | logz: -1071.724 +/-  0.125 | dlogz: 1082.424 >  0.010                                            
iter: 73 | bound: 0 | nc: 1 | ncall: 1048 | eff(%):  6.966 | loglstar:   -inf < -1063.702 <    inf | logz: -1070.485 +/-  0.116 | dlogz: 1071.052 >  0.010                                            
iter: 74 | bound: 0 | nc: 1 | ncall: 1049 | eff(%):  7.054 | loglstar:   -inf < -1053.459 <    inf | logz: -1061.108 +/-  0.125 | dlogz: 1069.812 >  0.010                                            
iter: 75 | bound: 0 | nc: 1 | ncall: 1050 | eff(%):  7.143 | loglstar:   -inf < -1051.553 <    inf | logz: -1058.942 +/-  0.120 | dlogz: 1060.434 >  0.010                                            
iter: 76 | bound: 0 | nc: 1 | ncall: 1051 | eff(%):  7.231 | loglstar:   -inf < -1051.261 <    inf | logz: -1057.912 +/-  0.114 | dlogz: 1058.268 >  0.010                                            
iter: 77 | bound: 0 | nc: 2 | ncall: 1053 | eff(%):  7.312 | loglstar:   -inf < -1022.374 <    inf | logz: -1030.025 +/-  0.125 | dlogz: 1057.237 >  0.010                                            
iter: 78 | bound: 0 | nc: 1 | ncall: 1054 | eff(%):  7.400 | loglstar:   -inf < -1019.751 <    inf | logz: -1027.268 +/-  0.122 | dlogz: 1029.348 >  0.010                                            
iter: 79 | bound: 0 | nc: 1 | ncall: 1055 | eff(%):  7.488 | loglstar:   -inf < -1012.235 <    inf | logz: -1019.888 +/-  0.125 | dlogz: 1026.590 >  0.010                                            
iter: 80 | bound: 0 | nc: 1 | ncall: 1056 | eff(%):  7.576 | loglstar:   -inf < -1011.586 <    inf | logz: -1018.525 +/-  0.117 | dlogz: 1019.209 >  0.010                                            
iter: 81 | bound: 0 | nc: 1 | ncall: 1057 | eff(%):  7.663 | loglstar:   -inf < -992.352 <    inf | logz: -1000.008 +/-  0.125 | dlogz: 1017.845 >  0.010                                             
iter: 82 | bound: 0 | nc: 1 | ncall: 1058 | eff(%):  7.750 | loglstar:   -inf < -989.456 <    inf | logz: -997.008 +/-  0.122 | dlogz: 999.327 >  0.010                                               
iter: 83 | bound: 0 | nc: 1 | ncall: 1059 | eff(%):  7.838 | loglstar:   -inf < -986.412 <    inf | logz: -993.974 +/-  0.122 | dlogz: 996.326 >  0.010                                               
iter: 84 | bound: 0 | nc: 1 | ncall: 1060 | eff(%):  7.925 | loglstar:   -inf < -984.563 <    inf | logz: -991.936 +/-  0.119 | dlogz: 993.291 >  0.010                                               
iter: 85 | bound: 0 | nc: 1 | ncall: 1061 | eff(%):  8.011 | loglstar:   -inf < -981.846 <    inf | logz: -989.362 +/-  0.121 | dlogz: 991.252 >  0.010                                               
iter: 86 | bound: 0 | nc: 1 | ncall: 1062 | eff(%):  8.098 | loglstar:   -inf < -979.974 <    inf | logz: -987.348 +/-  0.119 | dlogz: 988.677 >  0.010                                               
iter: 87 | bound: 0 | nc: 1 | ncall: 1063 | eff(%):  8.184 | loglstar:   -inf < -970.680 <    inf | logz: -978.342 +/-  0.126 | dlogz: 986.662 >  0.010                                               
iter: 88 | bound: 0 | nc: 1 | ncall: 1064 | eff(%):  8.271 | loglstar:   -inf < -960.305 <    inf | logz: -967.968 +/-  0.126 | dlogz: 977.655 >  0.010                                               
iter: 89 | bound: 0 | nc: 1 | ncall: 1065 | eff(%):  8.357 | loglstar:   -inf < -928.038 <    inf | logz: -935.702 +/-  0.126 | dlogz: 967.280 >  0.010                                               
iter: 90 | bound: 0 | nc: 1 | ncall: 1066 | eff(%):  8.443 | loglstar:   -inf < -917.153 <    inf | logz: -924.818 +/-  0.126 | dlogz: 935.013 >  0.010                                               
iter: 91 | bound: 0 | nc: 1 | ncall: 1067 | eff(%):  8.529 | loglstar:   -inf < -910.875 <    inf | logz: -918.538 +/-  0.125 | dlogz: 924.128 >  0.010                                               
iter: 92 | bound: 0 | nc: 1 | ncall: 1068 | eff(%):  8.614 | loglstar:   -inf < -910.517 <    inf | logz: -917.308 +/-  0.116 | dlogz: 917.847 >  0.010                                               
iter: 93 | bound: 0 | nc: 1 | ncall: 1069 | eff(%):  8.700 | loglstar:   -inf < -904.394 <    inf | logz: -912.055 +/-  0.125 | dlogz: 916.616 >  0.010                                               
iter: 94 | bound: 0 | nc: 1 | ncall: 1070 | eff(%):  8.785 | loglstar:   -inf < -900.912 <    inf | logz: -908.521 +/-  0.123 | dlogz: 911.362 >  0.010                                               
iter: 95 | bound: 0 | nc: 1 | ncall: 1071 | eff(%):  8.870 | loglstar:   -inf < -899.409 <    inf | logz: -906.701 +/-  0.118 | dlogz: 907.827 >  0.010                                               
iter: 96 | bound: 0 | nc: 1 | ncall: 1072 | eff(%):  8.955 | loglstar:   -inf < -891.134 <    inf | logz: -898.805 +/-  0.126 | dlogz: 906.006 >  0.010                                               
iter: 97 | bound: 0 | nc: 1 | ncall: 1073 | eff(%):  9.040 | loglstar:   -inf < -890.027 <    inf | logz: -897.192 +/-  0.118 | dlogz: 898.109 >  0.010                                               
iter: 98 | bound: 0 | nc: 1 | ncall: 1074 | eff(%):  9.125 | loglstar:   -inf < -889.139 <    inf | logz: -896.073 +/-  0.114 | dlogz: 896.494 >  0.010                                               
iter: 99 | bound: 0 | nc: 2 | ncall: 1076 | eff(%):  9.201 | loglstar:   -inf < -887.154 <    inf | logz: -894.474 +/-  0.117 | dlogz: 895.374 >  0.010                                               
