starting
Job is running on node c4.ib.local
c4.ib.local
c4.ib.local
c4.ib.local
c4.ib.local
c4.ib.local
c4.ib.local
c4.ib.local
c4.ib.local
c4.ib.local
c4.ib.local
c4.ib.local
c4.ib.local
c4.ib.local
c4.ib.local
c4.ib.local
c4.ib.local
c4.ib.local
c4.ib.local
c4.ib.local
c4.ib.local
c4.ib.local
c4.ib.local
c4.ib.local
/home/users/ksf293/aemulator/code
Running in /home/users/ksf293/aemulator/code/..
Running in /home/users/ksf293/aemulator
Fname /home/users/ksf293/aemulator/chains/param_files/chain_params_mcf_uchuu_all_Msatmocks_covglam4.h5
Condition number: 923.7538480211496
Building emulators
_aemulus_Msatmocks_train
original number of training ID pairs: 4000
Deleted bad ID pairs with indices [1296, 1335]
N train: 3998
Emulator for mcf built with train_tag _George_log_errstdev_Msatmocks
Dynesty sampling (static) - nongen
nlive: 972
sample_method: rwalk
walks: 25
bound: multi
seed: 652
vol_dec: 0.5 vol_check: 2.0
slices: 5
dlogz:  0.01
n_threads: 24

iter: 34 | bound: 0 | nc: 1 | ncall: 1009 | eff(%):  3.370 | loglstar:   -inf < -53.907 <    inf | logz: -60.109 +/-  0.107 | dlogz: 59.397 >  0.010                                                  
iter: 35 | bound: 0 | nc: 1 | ncall: 1010 | eff(%):  3.465 | loglstar:   -inf < -52.460 <    inf | logz: -59.282 +/-  0.109 | dlogz: 58.776 >  0.010                                                  
iter: 36 | bound: 0 | nc: 1 | ncall: 1011 | eff(%):  3.561 | loglstar:   -inf < -51.590 <    inf | logz: -58.349 +/-  0.110 | dlogz: 57.948 >  0.010                                                  
iter: 37 | bound: 0 | nc: 1 | ncall: 1012 | eff(%):  3.656 | loglstar:   -inf < -51.239 <    inf | logz: -57.640 +/-  0.108 | dlogz: 57.014 >  0.010                                                  
iter: 38 | bound: 0 | nc: 1 | ncall: 1013 | eff(%):  3.751 | loglstar:   -inf < -50.319 <    inf | logz: -56.924 +/-  0.108 | dlogz: 56.303 >  0.010                                                  
iter: 39 | bound: 0 | nc: 1 | ncall: 1014 | eff(%):  3.846 | loglstar:   -inf < -49.396 <    inf | logz: -56.098 +/-  0.109 | dlogz: 55.587 >  0.010                                                  
iter: 40 | bound: 0 | nc: 1 | ncall: 1015 | eff(%):  3.941 | loglstar:   -inf < -49.275 <    inf | logz: -55.480 +/-  0.107 | dlogz: 54.760 >  0.010                                                  
iter: 41 | bound: 0 | nc: 1 | ncall: 1016 | eff(%):  4.035 | loglstar:   -inf < -49.160 <    inf | logz: -55.063 +/-  0.105 | dlogz: 54.141 >  0.010                                                  
iter: 42 | bound: 0 | nc: 1 | ncall: 1017 | eff(%):  4.130 | loglstar:   -inf < -49.050 <    inf | logz: -54.739 +/-  0.104 | dlogz: 53.722 >  0.010                                                  
iter: 43 | bound: 0 | nc: 1 | ncall: 1018 | eff(%):  4.224 | loglstar:   -inf < -48.094 <    inf | logz: -54.318 +/-  0.104 | dlogz: 53.398 >  0.010                                                  
iter: 44 | bound: 0 | nc: 1 | ncall: 1019 | eff(%):  4.318 | loglstar:   -inf < -48.052 <    inf | logz: -53.908 +/-  0.103 | dlogz: 52.976 >  0.010                                                  
iter: 45 | bound: 0 | nc: 1 | ncall: 1020 | eff(%):  4.412 | loglstar:   -inf < -47.630 <    inf | logz: -53.548 +/-  0.102 | dlogz: 52.565 >  0.010                                                  
iter: 46 | bound: 0 | nc: 1 | ncall: 1021 | eff(%):  4.505 | loglstar:   -inf < -47.059 <    inf | logz: -53.139 +/-  0.102 | dlogz: 52.204 >  0.010                                                  
iter: 47 | bound: 0 | nc: 1 | ncall: 1022 | eff(%):  4.599 | loglstar:   -inf < -46.756 <    inf | logz: -52.731 +/-  0.102 | dlogz: 51.794 >  0.010                                                  
iter: 48 | bound: 0 | nc: 1 | ncall: 1023 | eff(%):  4.692 | loglstar:   -inf < -45.383 <    inf | logz: -52.061 +/-  0.105 | dlogz: 51.385 >  0.010                                                  
